Input,Real_Phonemes,Reference,Prediction,WER,PER
IH T S | T EH L AH L IY | R IH D IH K Y AH Z |,IH T S | T OW T AH L IY | R IH D IH K Y AH L AH S |,It's totally ridiculous.,It's terribly ridiculous.,0.3333333333,0.2272727273
AA B IY AH Z S | D AW N | DH EH R |,AE M B IY AH N S | D AW N | DH EH R |,Ambiance down there.,Obey us down there.,0.6666666667,0.1875
AY | G EH AH S | S AH M TH IH NG | IH Z | T UW | G OW |,AY | G EH S | S AH M TH IH NG | HH AE Z | T UW | G OW |,I guess something has to go.,I guess something is to go.,0.1666666667,0.1304347826
AY | G EH S | IH T S | K L OW S | IH N AH F |,AY | G EH S | IH T S | K L OW S | IH N AH F |,I guess it's close enough.,I guess it's close enough.,0,0
HH AE TH IH NG | V IH ZH AH N |,HH EH L TH IY | V IH ZH AH N |,Healthy vision.,Having vision.,0.5,0.3333333333
AY M | S AH K S ER N D | |,AY M | K AH N S ER N D |,I'm concerned.,I'm successful.,0.5,0.2727272727
EH N JH OY | DH AH | HH AE L AH D AH Z | |,EH N JH OY | DH AH | HH AA L AH D EY Z |,Enjoy the Holidays.,Enjoy the holidays!,0,0.1875
AH | M IY L | P R AH EY SH AH N | |,AH | M EY L | P R AH F EH SH AH N |,A male profession.,A meal preparation.,0.6666666667,0.2666666667
EH M P L OY IH NG | B EH N D AH F UW N T S |,EH M P L OY IY | B EH N AH F IH T S |,Employee Benefits.,Employing benefits.,0.5,0.3125
SH IY | K AE N | T UW | IH T |,SH IY | K AE N | D UW | IH T |,She can do it.,She can do it.,0,0.07692307692
AH V | K OY S | |,AH V | K AO R S |,Of course.,Of course.,0,0.375
Y UW | W ER | R EY T |,Y UW | W ER | G R EY T |,You were great.,You were right.,0.3333333333,0.09090909091
IH T S | M AY | V OY S |,IH T S | M AY | V OY S |,It's my voice.,It's my voice.,0,0
EH M P L OY IY | R IH N T R OY L ER |,EH M P L OY IY | K AH N T R OW L ER |,Employee controller.,Employee retention.,0.5,0.1875
V EH R IY | S AH M P EH N S F AH L |,V EH R IY | S AH S P EH N S F AH L |,Very suspenseful.,Very successful.,0.5,0.0625
DH AE T S | AH N D ER S AE N D AH B AH L | |,DH AE T S | AH N D ER S T AE N D AH B AH L |,That's understandable.,That's understandable.,0,0.1052631579
DH EY | HH AE V | Y UW P AA S |,DH EY | HH AE V | K UW P AO N Z |,They have coupons.,They have you up.,0.6666666667,0.2857142857
EH M P L OY N AH N T | EH N K UW AH M |,EH M P L OY M AH N T | IH N K AH M |,Employment income.,Employment income.,0,0.1875
HH AW S | R AH M ER IY Z |,HH AW S | R AA B ER IY Z |,House robberies.,How are you?,1.5,0.1818181818
IH T S | AH | N AW T M HH R |,IH T S | AH | N AY T M EH R |,It's a nightmare.,It's a new car.,0.6666666667,0.1538461538
N OW | IY Z IH NG | CH OY S AH Z |,N OW | IY Z IY | CH OY S AH Z |,No easy choices.,No easy choices.,0,0.1538461538
T AE N T IH K AH L | D IH S IH ZH AH N |,T AE K T IH K AH L | D IH S IH ZH AH N |,Tactical decision.,Tantalizing decision.,0.5,0.05882352941
DH AH | IH K S P IH R AH N S |,DH AH | IH K S P IH R IY AH N S |,The experience.,The experience.,0,0.07142857143
AY | L AY K | IH T | HH IY R |,AY | L AY K | IH T | HH IY R |,I like it here.,I like it here.,0,0
W EH N | W EY Z | IH T |,W EH N | W AA Z | IH T |,When was it?,When was it?,0,0.09090909091
EH N IY TH IH NG | AA N | DH AE T |,EH N IY TH IH NG | AA N | DH AE T |,Anything on that.,Anything on that?,0,0
AY | K UH D AH N T | AE D T ER S T AY D |,AY | K UH D AH N T | AH N D ER S T AE N D |,I couldn't understand.,I couldn't stand it.,0.6666666667,0.2631578947
IH T S | D IH P R EH S IH NG | T UW |,IH T S | D IH P R EH S IH NG | T UW |,It's depressing too.,It's depressing too.,0,0
W AH T | D UW | Y UW | TH IH NG K |,W AH T | D UW | Y UW | TH IH NG K |,What do you think?,What do you think?,0,0
D UW | Y UW | L AY K | T UW | D EH V ER AH L |,D UW | Y UW | L AY K | T UW | T R AE V AH L |,Do you like to travel?,Do you like to develop?,0.2,0.2
AY D | B IY | Y UH R IY AH S |,AY D | B IY | K Y UH R IY AH S |,I'd be curious.,I'd be yours.,0.3333333333,0.07142857143
Y UW AH L AH T IY | D AH B AW T | T |,Z OW AA L AH JH IY | D IH P AA R T M AH N T |,Zoology department.,You utility about it.,2,0.5789473684
DH AH | P ER M IH T ER | T R AY AE N AH L | |,DH AH | B ER M Y UW D AH | T R AY AE NG G AH L |,The Bermuda Triangle.,The perimeter trial.,0.6666666667,0.4
IH T | IH Z | EH N ER L IY | R IH EH ER N AH AA ZH JH |,IH T | IH Z | T OW T AH L IY | R IH D IH K Y AH L AH S |,It is totally ridiculous.,It is nearly impossible.,0.5,0.4583333333
W IH T | IH Z | OW ER |,DH AE T | IH Z | HH AO R AH B AH L |,That is horrible.,It is over.,0.6666666667,0.6
DH AH | HH AW S | P EY M AH N T |,DH AH | HH AW S | P EY M AH N T |,The house payment.,The house payment.,0,0
L EH T | T UW | K L AE K | IH K AH |,N AA T | T UW | L AO NG | AH G OW |,Not too long ago.,Let two kids come in.,1.25,0.5333333333
DH AH | G R EY D | K AE N Y AH N |,DH AH | G R AE N D | K AE N Y AH N |,The Grand Canyon.,The Grand Canyon.,0,0.125
IH F | IH N | G AE S Z | DH AH | N AA M |,IH F | IH T | D AH Z | DH AH | JH AA B |,If it does the job.,If in gas the name.,0.6,0.3529411765
DH AE T | IH Z | AH R AH M P IH AH L |,DH AE T | IH Z | HH AO R AH B AH L |,That is horrible.,That is a problem.,0.6666666667,0.3333333333
IH T S | R IH L IY | AA R D | T UW |,IH T S | R IH L IY | HH AA R D | T UW |,It's really hard to.,It's really hard too.,0.25,0.05882352941
IH N V EY ZH AH N | AH V | P AA B AH L |,IH N V EY ZH AH N | AH V | B ER M AH |,Invasion of Burma.,Invasion of privacy.,0.3333333333,0.25
AY M Z | S T IH L | G OW IH NG | |,AY M | S T IH L | G OW IH NG |,I'm still going.,I'm still going on.,0.3333333333,0.1538461538
IH T | IH Z | T IH T AH L IY | M IH N D IH AH T Y AH L AH S |,IH T | IH Z | T OW T AH L IY | R IH D IH K Y AH L AH S |,It is totally ridiculous.,It is totally minuscule.,0.25,0.2083333333
W EH N | DH EY | F UH L | HH AO V ER |,W EH N | DH EY | F AO L | OW V ER |,When they fall over.,When they feel hungry.,0.5,0.2
AY M | T R AY IH NG | T UW | TH IH NG |,AY M | T R AY IH NG | T UW | TH IH NG K |,I'm trying to think.,I'm trying to think.,0,0.05882352941
AY | W AA Z AH N T | R IH L IY |,AY | W AA Z AH N T | R IH L IY |,I wasn't really.,I wasn't really.,0,0
Y UW | K EY M | AW T | AA T | T AA B |,Y UW | K EY M | AW T | AA N | T AA P |,You came out on top.,You came out at top.,0.2,0.1176470588
K AA D T AH D | B AY | V OY S AH Z |,G AY D AH D | B AY | V OY S AH Z |,Guided by voices.,Categorized by voices.,0.3333333333,0.2
D R AH K | D R AE V ER Z | DH EH L | P IY P AH L |,D R AH NG K | D R AY V ER Z | K IH L | P IY P AH L |,Drunk drivers kill people.,"Drunk drivers, they're people.",0.25,0.1739130435
DH AE T | S AO R T | AH V | S D AH F |,DH AE T | S AO R T | AH V | S T AH F |,That sort of stuff.,That sort of stuff.,0,0.05882352941
AY M | D UW IH NG | AO L | R AY T |,AY M | D UW IH NG | AO L | R AY T |,I'm doing all right.,I'm doing all right.,0,0
HH IY | F EH F T ER T F AH L | K AA R T IH D |,AH | V EH JH T AH B AH L | G AA R D AH N |,A vegetable garden.,He felt comfortable already.,1.333333333,0.6111111111
W EH N | AY M | AH P | HH IY R |,W EH N | AY M | AH P | HH IY R |,When I'm up here.,When I'm up here.,0,0
W UH D | M UH K IH NG | F AE S T ER AH IY |,W UH D W ER K IH NG | M AE S T ER IY |,Woodworking mastery.,Would make it faster.,2,0.3125
P IY P AH L | P UH T | DH EH M | IH N |,P IY P AH L | P UH T | DH EH M | IH N |,People put them in.,People put them in.,0,0
AO L | DH AH | M AH N IY |,AO L | DH AH | M AH N IY |,All the money.,All the money.,0,0
IH F | Y UW | L UH K | B AE K |,IH F | Y UW | L UH K | B AE K |,If you look back.,If you look back.,0,0
Y UW | L AY V | IH N | K AA L AH N |,Y UW | L AY V | IH N | G AA R L AH N D |,You live in Garland.,You live in Columbia.,0.25,0.1666666667
IH T S | AH | HH EH D IY | AE T |,IH T S | AH | EY T IY | EY T |,It's a eighty eight.,It's a header at.,0.5,0.3076923077
W IY | D IH F AH N AH T L IY | N IY D | AH | G AA R JH | IH N | DH AH | S EH S T AH M |,W IY | D EH F AH N AH T L IY | N IY D | AH | CH EY N JH | IH N | DH AH | S IH S T AH M |,We definitely need a change in the system.,We definitely need a garage in the system.,0.125,0.1351351351
T ER M Z | N UW Z | AA N IH NG | B AY | K AH M N M AH N T |,T ER M Z | N UW Z | ER N IH NG | B AY | K AH M IH T M AH N T |,terms news earning by commitment,Terms news coming by comment.,0.4,0.1111111111
DH IH S | M IY | S IY M | IH M P AO R T AH N T | N AW |,DH IH S | M EY | S IY M | IH M P AO R T AH N T | N AW |,This may seem important now.,This may seem important now.,0,0.04166666667
DH AH | K IH D Z | L AY K T | T UW | G OW | |,DH AH | K IH D Z | L AY K | T UW | G OW | AW T |,The kids like to go out.,The kids like to go out.,0,0.1428571429
W IY | W IH L | HH AE V | T UW | P L IY Z | AH | L AA JH | HH AO R D AH |,W IY | W IH L | HH AE V | T UW | P L EY S | AH | L AA R JH | AO R D ER |,We will have to place a large order.,We will have to please a lot of hard ones.,0.625,0.1612903226
N AA T | IH T N | T ER M Z | AH V | N AO R TH | AH N D | S AW TH |,N AA T | IH N | T ER M Z | AH V | N AO R TH | AH N D | S AW TH |,Not in terms of north and south.,Not in terms of north and south.,0,0.03571428571
HH IY | K UH D | G EH T | HH ER T |,HH IY | K UH D | G EH T | HH ER T |,He could get hurt.,He could get hurt.,0,0
DH EH R | W AA Z | AH | V OY S | IH N | HH ER | HH EH D |,DH EH R | W AA Z | AH | V OY S | IH N | HH ER | HH EH D |,There was a voice in her head.,There was a voice in her head.,0,0
DH AH | F AY Z | AA R | R IH L IY | T EY K IH NG | OW V ER |,DH AH | V AY N Z | AA R | R IH L IY | T EY K IH NG | OW V ER |,The vines are really taking over.,The guys are really taking over.,0.1666666667,0.07692307692
AY | L AY K | T UW | W ER K | IH N | DH IH S | S M AO L | R UW M |,AY | L AY K | T UW | W ER K | IH N | DH IH S | S M AO L | R UW M |,I like to work in this small room.,I like to work in this small room.,0,0
B AH T | M AY | B AH S | W UH D AH N T | P EY | F AO R | IH T |,B AH T | M AY | B AA S | W UH D AH N T | P EY | F AO R | IH T |,But my boss wouldn't pay for it.,But my bus wouldn't pay for it.,0.1428571429,0.03571428571
AH N D | IH T | AO L S OW | HH AW L P S | W EH N | DH EY | W ER | R EH N IH NG |,AH N D | IH T | AO L S OW | HH EH L P S | W EH N | DH EY | W ER | W IH N IH NG |,And it also helps when they were winning.,And it also helps when they were running.,0.125,0.08823529412
HH AW | M EH N IY | K AE N AH W AH JH IY Z | W ER | DH EH R |,HH AW | M EH N IY | K AE ZH AH W AH L T IY Z | W ER | DH EH R |,How many casualties were there?,How many Canadians were there?,0.2,0.1153846154
DH EH R | S IY M Z | T UW | B IY | S AH M | K AH N F OW ZH AH N | AH B AW T | DH IH S |,DH EH R | S IY M Z | T UW | B IY | S AH M | K AH N F Y UW ZH AH N | AH B AW T | DH IH S |,There seems to be some confusion about this.,There seems to be some confusion about this.,0,0.05263157895
IH T | W UH D | B IY | F AY T | JH AH S T | T UW | W EY T | W AY N |,IH T | W UH D | B IY | F AH N | JH AH S T | T UW | W IH N | W AH N |,It would be fun just to win one.,It would be fine just to wait in.,0.375,0.1666666667
AY | HH OW P | AY M | AA N | DH AH | R AY T | T R AE K |,AY | HH OW P | AY M | AA N | DH AH | R AY T | T R AE K |,I hope I'm on the right track.,I hope I'm on the right track.,0,0
S OW | DH AH | T AE K T ER | AH L EH K AH D | T UW | HH AE V | HH ER |,S OW | DH AH | D AA K T ER | IH L EH K T AH D | T UW | HH AE V | HH ER |,So the doctor elected to have her.,So the actor allowed to have her.,0.2857142857,0.1333333333
W IY F | HH AE D | W AH N | AH N Z | L AO NG | AE Z | AY | K UH N | R IH M EH M B ER |,W IY V | HH AE D | W AH N | AE Z | L AO NG | AE Z | AY | K AE N | R IH M EH M B ER |,We've had one as long as I can remember.,We've had one and long as I can remember.,0.1111111111,0.1111111111
DH AE T | D AH Z | N AA T | S IY M | K W AY T | F EH R |,DH AE T | D AH Z | N AA T | S IY M | K W AY T | F EH R |,That does not seem quite fair.,That does not seem quite fair.,0,0
AY | W UH D | B AE K | T UW | S AO | AY N D | G AA T | M AY | M IH S T AH Z | Y AH R IY |,AY | W EH N T | B AE K | T UW | S K UW L | AH N D | G AA T | M AY | M AE S T ER Z | D IH G R IY |,I went back to school and got my Master's degree.,I would back to school and got my master's degree.,0.1,0.2790697674
IH T S | L AY K | AH | JH AH G | AY | HH ER D | W AH N S |,IH T S | L AY K | AH | JH OW K | AY | HH ER D | W AH N S |,It's like a joke I heard once.,It's like a jug I heard once.,0.1428571429,0.08
DH EH R Z | G UH D | M Y UW Z IH K | AH N D | G UH D | F UW D |,DH EH R Z | G UH D | M Y UW Z IH K | AH N D | G UH D | F UW D |,There's good music and good food.,There's good music and good food.,0,0
DH EH R | S IH CH UW EY SH AH N | IH | S AA T | AE Z | B AE D |,DH EH R | S IH CH UW EY SH AH N | IH Z | N AA T | AE Z | B AE D |,Their situation is not as bad.,Their situation is not as bad.,0,0.07407407407
AY | HH AE V | S AH M | N EY B ER Z | AH K R AO S | DH AH | F IY L D |,AY | HH AE V | S AH M | N EY B ER Z | AH K R AO S | DH AH | F IY L D |,I have some neighbors across the field.,I have some neighbors across the field.,0,0
AY | K AE T | TH IH NG K | AH V | AH | B EH T ER | T AY M |,AY | K AE N T | TH IH NG K | AH V | AH | B EH T ER | T AY M |,I can't think of a better time.,I can think of a better time.,0.1428571429,0.03846153846
S AE L IH NG | B AA T ER Z | AH V | W AO T ER |,S EH L IH NG | B AA T AH L Z | AH V | W AO T ER |,Selling bottles of water.,Selling butter of water.,0.25,0.1428571429
DH AH | N UW Z | W AA Z | F ER S T | R IY P AO R T IH D | B AY | D EH G L AE N T | AE L AH W AH T |,DH AH | N UW Z | W AA Z | F ER S T | R IY P AO R T IH D | B AY | D EH D L AY N | HH AA L IY W UH D |,The news was first reported by Deadline Hollywood.,The news was first reported by a gentleman at what.,0.5,0.1860465116
SH IY | HH AE Z | IH K S P IH R IY AH N S | IH N | EH N JH AH K EY SH AH N |,SH IY | HH AE Z | IH K S P IH R IY AH N S | IH N | EH JH AH K EY SH AH N |,She has experience in education.,She has experience in engineering.,0.2,0.03333333333
DH EY | S T AA R T IH D | L UH K IH NG | IH N T UW | P R OW G R M Z |,DH EY | S T AA R T IH D | L UH K IH NG | IH N T UW | P R OW G R AE M Z |,They started looking into programs.,They started looking into programs.,0,0.03225806452
IH T | AH DH ER | W ER K S | DH EH R | HH IH Z | AH | T UW OY S | T UW | B IH K |,IH N | AH DH ER | W ER D Z | DH EH R | IH Z | AH | CH OY S | T UW | M EY K |,"In other words, there is a choice to make.","It's another work space there, he has a desk to sit at.",1,0.25
D IH D | DH EY | M EH L | DH AE T | T UW | Y UW |,D IH D | DH EY | M EY L | DH AE T | T UW | Y UW |,Did they mail that to you?,Did they tell that to you?,0.1666666667,0.04761904762
W EH N | Y UW | L IY V | AH | JH AA M |,W EH N | Y UW | L IY V | AH | JH AA B |,When you leave a job.,When you leave a job.,0,0.05882352941
W AY | IH Z | DH IH S | S AA T S | AE N | IH N V L JH AH L | TH IH NG | T UW | D UW |,W AY | IH Z | DH IH S | S AH CH | AE N | AH N Y UW ZH UW AH L | TH IH NG | T UW | D UW |,Why is this such an unusual thing to do?,Why is this not an involved thing to do?,0.2222222222,0.2222222222
DH AE T | AA R T | G EH T IH NG | G AA T | AE T | HH OW M |,DH AE T | AA R AH N T | G EH T IH NG | T AO T | AE T | HH OW M |,That aren't getting taught at home.,That are getting got at home.,0.3333333333,0.1481481481
DH EH R | D AO ER Z | AH | N AA T AH V | N AA D | R Z AH N Z | HH IY R |,DH EH R | D UW IH NG | AH | L AA T | AH V | G UH D | R IY S ER CH | HH IY R |,They're doing a lot of good research here.,There does not have a lot of good reasons here.,0.625,0.34375
B EY S IH K L IY | DH AH | G AY | K AH M EH N T S |,B EY S IH K L IY | DH AH | G AY | K AH M IH T S |,Basically the guy commits.,"Basically, the guy comments.",0.25,0.09523809524
IH Z | Y AO R | F AE M AH L IY | F R AH M | D AE L ER Z |,IH Z | Y AO R | F AE M AH L IY | F R AH M | D AE L AH S |,Is your family from Dallas?,Is your family from Dallas?,0,0.08
IH T S | AE N | IH N V EY ZH AH N | AH V | P R AA M AH S IY |,IH T S | AE N | IH N V EY ZH AH N | AH V | P R AY V AH S IY |,It's an invasion of privacy.,It's an invasion of privacy.,0,0.07692307692
IH T S | D IH F AH K AH L D | T UW | R IH L IY | S EY | W AY |,IH T S | D IH F AH K AH L T | T UW | R IH L IY | S EY | W AY |,It's difficult to really say why.,It's difficult to really say why.,0,0.03703703704
HH IY | W AA Z | AH | K EH R IY |,HH IY | W AA Z | AH | K ER IY ER |,He was a courier.,He was a carrier.,0.25,0.2142857143
DH AH | EH R | IH Z | AO L W EY Z | K UW L |,DH AH | EH R | IH Z | AO L W EY Z | K UW L |,The air is always cool.,The air is always cool.,0,0
F IH SH AH N | B UH L TH S | DH AE T | AY | R IH L IY | L AY K |,F IH K SH AH N | B UH K S | DH AE T | AY | R IH L IY | L AY K |,Fiction books that I really like.,Finish building that I really like.,0.3333333333,0.1111111111
K AA R Z | HH AE V | K AH M | D AW T | IH N | D R EH S CH | S AH N UW L AH L ER IY |,K AA R Z | HH AE V | K AH M | D AW N | IH N | P R AY S | S IH G N IH F IH K AH N T L IY |,Cars have come down in price significantly.,Cars have come out in various colors.,0.4285714286,0.3333333333
DH IH S | HH AW S | L UH K S | V EH R IY | B IH G |,DH IH S | HH AW S | L UH K S | V EH R IY | B IH G |,This house looks very big.,This house looks very big.,0,0
DH AE T S | T R UW | AH V | EH N IY | S P AO R T |,DH AE T S | T R UW | AH V | EH N IY | S P AO R T |,That's true of any sport.,That's true of any sport.,0,0
DH EH R | JH AH S T | S OW | S AH M EH M F AH L |,DH EH R | JH AH S T | S OW | S AH S P EH N S F AH L |,They're just so suspenseful.,They're just so familiar.,0.25,0.1739130435
T EY IH NG | D R AH S IH SH AH L | Y UW Z D | L AE T |,P L EY IH NG | T R AH D IH SH AH N AH L | Y UW Z D | F L AE T |,playing traditional used flat,Taking prescription drugs at night.,1.25,0.2592592593
M AY | F AE M AH L IY Z | N AA T | V EH R IY | B IH G |,M AY | F AE M AH L IY Z | N AA T | V EH R IY | B IH G |,My family's not very big.,My family's not very big.,0,0
B AH T | Y UW | HH AE V | F R ER G D Z | DH AE T | AE V | CH OW L JH R AH N |,B AH T | Y UW | HH AE V | F R EH N D Z | DH AE T | HH AE V | CH IH L D R AH N |,But you have friends that have children.,But you have friends that have children.,0,0.1470588235
AY | D OW N T | W AA N T | T UW | D UW | EH N IY TH IH NG |,AY | D OW N T | W AA N T | T UW | D UW | EH N IY TH IH NG |,I don't want to do anything.,I don't want to do anything.,0,0
SH IY | D IH D AH N T | AH N AW S | DH AE T | T UW | Y UW |,SH IY | D IH D AH N T | AH N AW N S | DH AE T | T UW | Y UW |,She didn't announce that to you.,She didn't announce that to you.,0,0.03846153846
AY | D IH D | W EH L | IH N | S K UW L |,AY | D IH D | W EH L | IH N | S K UW L |,I did well in school.,I did well in school.,0,0
DH AE T | W UH D | B IY | D AH B V AA S T IH T IH NG | AY M | M AO R |,DH AE T | W UH D | B IY | D EH V AH S T EY T IH NG | AY M | SH UH R |,That would be devastating I'm sure.,"That would be devastating, I'm more.",0.1666666667,0.2068965517
AH K OY D IH NG | T UW | DH AH | JH IH JH AH SH AH L | S IH S T AH M |,AH K AO R D IH NG | T UW | DH AH | JH UW D IH SH AH L | S IH S T AH M |,According to the judicial system.,Adapting to the judicial system.,0.2,0.1724137931
IH T AH L | G OW | TH R UW | DH AH | S L AY T |,IH T AH L | G OW | TH R UW | DH AH | S L AA T |,It'll go through the slot.,It'll go through the slit.,0.2,0.05
HH IY | P L EY Z | P R IH T IY | P R EH N AH N AH L IY |,HH IY | P L EY Z | P R IH T IY | R EH G Y AH L ER L IY |,He plays pretty regularly.,He plays pretty piano.,0.25,0.2083333333
AH | F Y IY | M IH N T AH Z | AH G OW |,AH | F Y UW | M IH N AH T S | AH G OW |,A few minutes ago.,A few minutes ago.,0,0.2352941176
AH M EH R IH K AH | IH Z | L UW Z IH NG | IH T |,AH M EH R IH K AH | IH Z | L UW Z IH NG | IH T |,America is losing it.,America is losing it.,0,0
W IY | R EH D | IH N T UW | S AH M | P R AA B L AH M Z |,W IY | R AE N | IH N T UW | S AH M | P R AA B L AH M Z |,We ran into some problems.,We read into some problems.,0.2,0.08
W IY | AA R | G UH D | P IY P ER |,W IY | AA R | G UH D | P IY P AH L |,We are good people.,We are good people.,0,0.125
G UH D | T UW | HH IY R | F R AH M | Y UW |,G UH D | T UW | HH IY R | F R AH M | Y UW |,Good to hear from you.,Good to hear from you.,0,0
AY | G R UW | AH P | W AO T ER | S T IY IH NG |,AY | G R UW | AH P | W AO T ER | S K IY IH NG |,I grew up water skiing.,I grew up water skiing.,0,0.05
DH EY | L AY V | W IH DH | AH S |,DH EY | L AY V | W IH DH | AH S |,They live with us.,They live with us.,0,0
Y UW | D OW N T | F IY L | S ER P ER | K AO L D |,Y UW | D OW N T | F IY L | S UW P ER | K OW L D |,You don't feel super cold.,You don't feel so cold.,0.2,0.09090909091
AY | S T IH L | L AY K | DH AH | D UW | Y AA NG | T AY AH N S |,AY | S T IH L | L AY K | DH AH | N UW | Y AO R K | JH AY AH N T S |,I still like the New York Giants.,I still like the food you make.,0.4285714286,0.2068965517
AA R | Y UW | P L EY NG | W IH TH | DH | IH S AH M EY ZH AH N |,AA R | Y UW | P L IY Z D | W IH DH | DH IH S | D IH S IH ZH AH N |,Are you pleased with this decision?,Are you playing with the imagination?,0.5,0.3571428571
N AA T | T UW | M AH CH | S OY | S AA S |,N AA T | T UW | M AH CH | S OY | S AO S |,Not too much soy sauce.,Not too much soy sauce.,0,0.05555555556
DH AH | B OW TH | K AH K R OW M P ER R IY | T AH G EH ZH ER |,DH EY | B OW TH | K OW AA P ER EY T | T AH G EH DH ER |,They both cooperate together.,The two companies together.,0.75,0.3636363636
IH T S | R IH L IY | N AA T | T UW | T EH F AH K AH L |,IH T S | R IH L IY | N AA T | T UW | D IH F AH K AH L T |,It's really not too difficult.,It's really not too technical.,0.2,0.12
AO L | M AY | EH N S | AE N D | AH K AH S Z |,AO L | M AY | AE N T S | AH N D | AH NG K AH L Z |,All my aunts and uncles.,All my friends and family.,0.4,0.2272727273
DH EY | L IH N D ER S | S L IH P | IH N S AY D |,DH AH | AY L AH N D ER Z | S L IY P | IH N S AY D |,The islanders sleep inside.,They lingered outside.,1,0.2272727273
S OW | Y UW | EH N JH OY | G AA R D AH D IH NG |,S OW | Y UW | EH N JH OY | G AA R D AH N IH NG |,So you enjoy gardening?,So you enjoy gardening?,0,0.05
AH P B AH N D | TH R IY | Y IH R Z | AH G OW |,AH B AW T | TH R IY | Y IH R Z | AH G OW |,About three years ago.,Up and three years ago.,0.5,0.2222222222
HH IY | W AY D | V ER ER OW AH T IY |,AH | W AY D | V ER AY AH T IY |,A wide variety.,He had variety.,0.6666666667,0.3076923077
Y IH R Z | HH AE V | G AO N | B AY |,Y IH R Z | HH AE V | G AO N | B AY |,Years have gone by.,Years have gone by.,0,0
AY | D OW N T | L AY K | DH IH S | IY DH ER |,AY | D OW N T | L AY K | DH IH S | IY DH ER |,I don't like this either.,I don't like this either.,0,0
B R IH NG | DH AH | P AA T | T UW | AH | B OY L |,B R IH NG | DH AH | P AA T | T UW | AH | B OY L |,Bring the pot to a boil.,Bring the pot to a boil.,0,0
Y UW | HH AE V | T UW | F L AY | TH R UW |,Y UW | HH AE V | T UW | F L AY | TH R UW |,You have to fly through.,You have to fly through.,0,0
W IY | S T AA T IH D | T EY K IH NG | HH ER |,W IY | S T AA R T IH D | T EY K IH NG | HH ER |,We started taking her.,We started taking her.,0,0.05
Y UW | G K AE N | HH AE V | AH | V ER AY AH T IY |,Y UW | K AE N | HH AE V | AH | V ER AY AH T IY |,You can have a variety.,You can have a variety.,0,0.05
DH AH | L AE S T | B UH K | AY | R EH D |,DH AH | L AE S T | B UH K | AY | R EH D |,The last book I read.,The last book I read.,0,0
DH AE T | P L IY Z | M IY | |,DH AE T | P L IY Z D | M IY |,That pleased me.,That please me.,0.3333333333,0.1538461538
AA R | DH EY | DH AH | S EY M | DH EH R |,AA R | DH EY | DH AH | S EY M | DH EH R |,Are they the same there?,Are they the same there?,0,0
AY | TH IH NG K | DH AH | D IH Z B M AH N |,AY | TH IH NG K | DH AH | N UW Z M IH N |,I think the newsmen.,I think the diagnosis.,0.25,0.2352941176
IY T | Y AO R | F UW D | IH T S | G EH T IH NG | K OW L D |,IY T | Y AO R | F UW D | IH T S | G EH T IH NG | K OW L D |,"Eat your food, it's getting cold.","Eat your food, it's getting cold.",0,0
B IH F AO R | Y UW | R IY AH L AY Z | EH N IY TH IH NG | IH Z | G OW IH NG | AA N |,B IH F AO R | Y UW | R IY AH L AY Z | EH N IY TH IH NG | IH Z | G OW IH NG | AA N |,Before you realize anything is going on.,Before you realize anything is going on.,0,0
G R UW | S IY D | M IY N | D IH S IH S AH | S EH ZH AH L IY | UH UW D UW V |,G R UW | S P EH N D | M EH N | N EH S AH S EH R AH L IY | Y UW V |,grew spend men necessarily you've.,"You need my decision, so do you?",1.4,0.4482758621
EH V R IY TH IH NG | T R AH P | W AH N S | T UW | D UW | TH ER D AH ER Z S | EH V R IY TH IH NG | T R UW D R UW | W AH N Z | T UW | D UW |,EH V R IY TH IH NG | T R AH M P | W AA N T S | T UW | D UW | TH R EH T AH N Z | EH V R IY TH IH NG | T R UW D OW | W AA N T S | T UW | D UW |,Everything Trump wants to do threatens everything Trudeau wants to do.,"Everything turned once to do, and everything turned to do once to do.",0.6363636364,0.2166666667
K AH M P IH N NG | TH IH NG Z | K AH N S AA N S | IH Z | Y UW ZH AH W AH L IY | DH AH | W EY | T UW | IH N |,K IY P IH NG | TH IH NG Z | K AH N S AY S | IH Z | Y UW ZH AH W AH L IY | DH AH | W EY | T UW | G OW |,Keeping things concise is usually the way to go.,Coming to consensus is usually the way to go in.,0.4444444444,0.1666666667
AY | AY | HH AE P AH D | L IH T IH K | T UW | DH IH S | W IH M B ER AH B AH L | Y UW Z |,AY | AO F AH N | L IH S AH N | T UW | DH IH S | W AH N D ER F AH L | M Y UW Z IH K |,I often listen to this wonderful music.,I just happened to this wonderful use.,0.4285714286,0.4722222222
D EY T AH N D | M EY D | T UW | G AA T | Y UW | AO V | DH EH R |,D IH D AH N T | M IY N | T UW | K AH T | Y UW | AO F | DH EH R |,Didn't mean to cut you off there.,Data and made to get you off there.,0.5714285714,0.2857142857
DH OW Z | W ER D Z | W ER | DH AH | K Y UW R | F AO R | DH AH | AE K T ER | T UW | L AY V |,DH OW Z | W ER D Z | W ER | DH AH | K Y UW | F AO R | DH AH | AE K T ER | T UW | L IY V |,Those words were the cue for the actor to leave.,Those words were the cure for the actor to live.,0.2,0.05263157895
